,deploymentID,BAI,habitat,predicted_habitat,lda_projection
0,graph_G27.csv,0.2163320030461218,Unknown,1.0,2.0582291585856938
1,graph_G26.csv,0.329084530969007,Unknown,1.0,3.260243440203219
2,graph_G24.csv,0.1083055900707343,Unknown,1.0,0.906598294245905
3,graph_G18.csv,0.1094779699838224,Unknown,1.0,0.9190966162345456
4,graph_G19.csv,0.1781901654182045,Unknown,1.0,1.6516127003963976
5,graph_G25.csv,0.199503461895129,Unknown,1.0,1.8788261139274294
6,graph_G09.csv,-0.0947790924741995,Unknown,0.0,-1.2584147062938809
7,graph_G21.csv,0.1104561247663721,Unknown,1.0,0.929524373730691
8,graph_G20.csv,-0.2041827568415138,Unknown,0.0,-2.4247279540176225
9,graph_G08.csv,0.1676303512358607,Unknown,1.0,1.5390383067909108
10,graph_G22.csv,-0.0778227638627987,Unknown,0.0,-1.07764936532837
11,graph_G23.csv,0.1307763668916319,Unknown,1.0,1.1461511908003135
12,graph_G06.csv,0.0733276796377307,Unknown,0.9984,0.5337113297038412
13,graph_G05.csv,0.1673342926643438,Unknown,1.0,1.5358821324885306
14,graph_G10.csv,0.0675695954398153,Unknown,0.9968,0.4723264581789724
15,graph_G28.csv,0.2444291633097163,Unknown,1.0,2.3577629121245547
16,graph_G14.csv,-0.0039840454991136,Unknown,0.0495,-0.2904812579296075
17,graph_G01.csv,0.2808377980249749,Unknown,1.0,2.7459023153658526
18,graph_G15.csv,0.1924157934533129,Unknown,1.0,1.8032670213963997
19,graph_G03.csv,0.2397907467612442,Unknown,1.0,2.3083144160414535
20,graph_G17.csv,0.1906810061134533,Unknown,1.0,1.7847730754379847
21,graph_G16.csv,0.1389994209754905,Unknown,1.0,1.2338142226577584
22,MC-029,0.2387690160643771,Bosque galería,1.0,2.2974221113434936
23,MC-011,-0.311237648051038,Cultivo pancoger,0.0,-3.5660017730744116
24,MC-005,0.3668341062182377,Bosque denso,1.0,3.662678129788222
25,MC-024,-0.2828362993370389,Cultivo pancoger,0.0,-3.2632251755086794
26,MC-030,0.3958459061001134,Bosque denso,1.0,3.971962528425338
27,MC-022,0.4682427859998601,Bosque galería,1.0,4.743759712818058
28,MC-036,0.5721983926529309,Bosque denso,1.0,5.851993170223696
29,MC-017,-0.5587856154445993,Pastos limpios,0.0,-6.205021914564788
30,MC-003,-0.5563913084366087,Pastos enmalezados,0.0,-6.179497065843436
31,MC-009,-0.59881247046607,Pastos limpios,0.0,-6.631733867461735
32,MC-028,-0.0458953662009961,Cultivo pancoger,0.0003,-0.7372828239181767
33,MC-004,-0.3341117392446426,Pastos enmalezados,0.0,-3.8098542595795393
34,MC-010,0.6080371144880607,Bosque denso,1.0,6.234056936547469
35,MC-031,-0.3534308514320876,Pastos limpios,0.0,-4.015808389258673
36,MC-025,0.2982636373732198,Bosque galería,1.0,2.931672941990638
37,MC-040,0.4938891189105674,Bosque denso,1.0,5.017166074499557
38,MC-037,0.431631127461152,Bosque fragmentado,1.0,4.35345594537322
39,MC-023,-0.1688137295802684,Pastos enmalezados,0.0,-2.047671433173911
40,MC-002,-0.5474969695172246,Pastos limpios,0.0,-6.084677706990939
41,MC-016,-0.1049933269480875,Bosque fragmentado,0.0,-1.3673049985079986
42,MC-026,-0.4017885101517523,Pastos limpios,0.0,-4.531332054026329
43,MC-032,-0.3103647459478243,Pastos arbolados,0.0,-3.5566960766625813
44,MC-013,-0.5486169935156517,Pastos limpios,0.0,-6.096617881341483
45,MC-007,0.5109942164209219,Bosque galería,1.0,5.199517387367402
46,MC-018,0.3838168605943463,Bosque galería,1.0,3.843725186358399
47,MC-039,-0.3060758441005823,Pastos enmalezados,0.0,-3.510973631518233
48,MC-015,-0.0700224447491356,Cultivo Cacao,0.0,-0.9944929594497384
49,MC-001,0.4218128931028458,Bosque denso,1.0,4.248787268436563
50,MC-020,-0.4612885830231018,Pastos limpios,0.0,-5.165641001827128
51,MC-034,0.4332923984456718,Bosque denso,1.0,4.371166159820876
52,MC-027,0.5394565432030041,Bosque denso,1.0,5.502944050258068
53,MC-006,-0.3475686291520106,Pastos limpios,0.0,-3.9533133389704145
54,MC-012,-0.3262183596160422,Bosque galería,0.0,-3.7257057689107036
55,MC-019,0.1067998760439086,Bosque galería,1.0,0.8905464167614892
56,MC-038,0.3368270253694063,Bosque galería,1.0,3.3427833975422567
57,MC-014,0.1572899595156047,Bosque galería,1.0,1.4288030973970416
58,MC-035,0.3819095316721289,Bosque denso,1.0,3.823391836441708
59,MC-021,0.3016699935918552,Bosque secundario,1.0,2.9679868845558706
