observationID,deploymentID,mediaID,eventID,eventStart,eventEnd,frequencyLow,frequencyHigh,observationLevel,observationType,scientificName,count,lifeStage,sex,behavior,individualID,individualPositionRadius,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,observationTags,observationComments,latitude,longitude,timestamp_x,timestamp_y,timestamp
20584,G01,G01_20250908_080000.WAV,,3.0,6.0,,,interval,animal,Akletos melanoceps,,,,,,,machine,Birdnet 2.4,2025-11-26T19:41:16,0.954,,,2.014806,-73.841528,2025-09-08T08:00:00-05:00,2025-09-08T08:00:00-05:00,2025-09-08T08:00:00-05:00
20585,G01,G01_20250908_080000.WAV,,6.0,9.0,,,interval,animal,Akletos melanoceps,,,,,,,machine,Birdnet 2.4,2025-11-26T19:41:16,0.981,,,2.014806,-73.841528,2025-09-08T08:00:00-05:00,2025-09-08T08:00:00-05:00,2025-09-08T08:00:00-05:00
20588,G01,G01_20250908_080000.WAV,,18.0,21.0,,,interval,animal,Akletos melanoceps,,,,,,,machine,Birdnet 2.4,2025-11-26T19:41:16,0.991,,,2.014806,-73.841528,2025-09-08T08:00:00-05:00,2025-09-08T08:00:00-05:00,2025-09-08T08:00:00-05:00
20589,G01,G01_20250908_080000.WAV,,21.0,24.0,,,interval,animal,Akletos melanoceps,,,,,,,machine,Birdnet 2.4,2025-11-26T19:41:16,0.989,,,2.014806,-73.841528,2025-09-08T08:00:00-05:00,2025-09-08T08:00:00-05:00,2025-09-08T08:00:00-05:00
20592,G01,G01_20250908_080000.WAV,,30.0,33.0,,,interval,animal,Akletos melanoceps,,,,,,,machine,Birdnet 2.4,2025-11-26T19:41:16,0.795,,,2.014806,-73.841528,2025-09-08T08:00:00-05:00,2025-09-08T08:00:00-05:00,2025-09-08T08:00:00-05:00
20593,G01,G01_20250908_080000.WAV,,33.0,36.0,,,interval,animal,Akletos melanoceps,,,,,,,machine,Birdnet 2.4,2025-11-26T19:41:16,0.852,,,2.014806,-73.841528,2025-09-08T08:00:00-05:00,2025-09-08T08:00:00-05:00,2025-09-08T08:00:00-05:00
20597,G01,G01_20250908_080000.WAV,,42.0,45.0,,,interval,animal,Akletos melanoceps,,,,,,,machine,Birdnet 2.4,2025-11-26T19:41:16,0.289,,,2.014806,-73.841528,2025-09-08T08:00:00-05:00,2025-09-08T08:00:00-05:00,2025-09-08T08:00:00-05:00
20598,G01,G01_20250908_080000.WAV,,45.0,48.0,,,interval,animal,Akletos melanoceps,,,,,,,machine,Birdnet 2.4,2025-11-26T19:41:16,0.979,,,2.014806,-73.841528,2025-09-08T08:00:00-05:00,2025-09-08T08:00:00-05:00,2025-09-08T08:00:00-05:00
20599,G01,G01_20250908_080000.WAV,,57.0,60.0,,,interval,animal,Akletos melanoceps,,,,,,,machine,Birdnet 2.4,2025-11-26T19:41:16,0.915,,,2.014806,-73.841528,2025-09-08T08:00:00-05:00,2025-09-08T08:00:00-05:00,2025-09-08T08:00:00-05:00
20686,G01,G01_20250922_063000.WAV,,0.0,3.0,,,interval,animal,Akletos melanoceps,,,,,,,machine,Birdnet 2.4,2025-11-26T19:41:16,0.79,,,2.014806,-73.841528,2025-09-22T06:30:00-05:00,2025-09-22T06:30:00-05:00,2025-09-22T06:30:00-05:00
20688,G01,G01_20250922_063000.WAV,,15.0,18.0,,,interval,animal,Akletos melanoceps,,,,,,,machine,Birdnet 2.4,2025-11-26T19:41:16,0.498,,,2.014806,-73.841528,2025-09-22T06:30:00-05:00,2025-09-22T06:30:00-05:00,2025-09-22T06:30:00-05:00
20692,G01,G01_20250922_063000.WAV,,30.0,33.0,,,interval,animal,Akletos melanoceps,,,,,,,human,Daniela Martínez,2026-02-02T11:50:31-0500,1.0,,,2.014806,-73.841528,2025-09-22T06:30:00-05:00,2025-09-22T06:30:00-05:00,2025-09-22T06:30:00-05:00
20697,G01,G01_20250922_063000.WAV,,42.0,45.0,,,interval,animal,Akletos melanoceps,,,,,,,machine,Birdnet 2.4,2025-11-26T19:41:16,0.896,,,2.014806,-73.841528,2025-09-22T06:30:00-05:00,2025-09-22T06:30:00-05:00,2025-09-22T06:30:00-05:00
20700,G01,G01_20250922_063000.WAV,,57.0,60.0,,,interval,animal,Akletos melanoceps,,,,,,,machine,Birdnet 2.4,2025-11-26T19:41:16,0.561,,,2.014806,-73.841528,2025-09-22T06:30:00-05:00,2025-09-22T06:30:00-05:00,2025-09-22T06:30:00-05:00
20818,G01,G01_20250914_103000.WAV,,0.0,3.0,,,interval,animal,Akletos melanoceps,,,,,,,human,Daniela Martínez,2026-02-02T11:50:31-0500,1.0,,,2.014806,-73.841528,2025-09-14T10:30:00-05:00,2025-09-14T10:30:00-05:00,2025-09-14T10:30:00-05:00
20901,G01,G01_20250909_063000.WAV,,9.0,12.0,,,interval,animal,Akletos melanoceps,,,,,,,machine,Birdnet 2.4,2025-11-26T19:41:16,0.577,,,2.014806,-73.841528,2025-09-09T06:30:00-05:00,2025-09-09T06:30:00-05:00,2025-09-09T06:30:00-05:00
20914,G01,G01_20250909_063000.WAV,,54.0,57.0,,,interval,animal,Akletos melanoceps,,,,,,,machine,Birdnet 2.4,2025-11-26T19:41:16,0.285,,,2.014806,-73.841528,2025-09-09T06:30:00-05:00,2025-09-09T06:30:00-05:00,2025-09-09T06:30:00-05:00
20916,G01,G01_20250909_063000.WAV,,57.0,60.0,,,interval,animal,Akletos melanoceps,,,,,,,machine,Birdnet 2.4,2025-11-26T19:41:16,0.851,,,2.014806,-73.841528,2025-09-09T06:30:00-05:00,2025-09-09T06:30:00-05:00,2025-09-09T06:30:00-05:00
20973,G01,G01_20250921_093000.WAV,,48.0,51.0,,,interval,animal,Akletos melanoceps,,,,,,,machine,Birdnet 2.4,2025-11-26T19:41:16,0.896,,,2.014806,-73.841528,2025-09-21T09:30:00-05:00,2025-09-21T09:30:00-05:00,2025-09-21T09:30:00-05:00
20975,G01,G01_20250921_093000.WAV,,57.0,60.0,,,interval,animal,Akletos melanoceps,,,,,,,machine,Birdnet 2.4,2025-11-26T19:41:16,0.968,,,2.014806,-73.841528,2025-09-21T09:30:00-05:00,2025-09-21T09:30:00-05:00,2025-09-21T09:30:00-05:00
22140,G01,G01_20250916_070000.WAV,,0.0,3.0,,,interval,animal,Akletos melanoceps,,,,,,,machine,Birdnet 2.4,2025-11-26T19:41:16,0.784,,,2.014806,-73.841528,2025-09-16T07:00:00-05:00,2025-09-16T07:00:00-05:00,2025-09-16T07:00:00-05:00
22144,G01,G01_20250916_070000.WAV,,12.0,15.0,,,interval,animal,Akletos melanoceps,,,,,,,machine,Birdnet 2.4,2025-11-26T19:41:16,0.344,,,2.014806,-73.841528,2025-09-16T07:00:00-05:00,2025-09-16T07:00:00-05:00,2025-09-16T07:00:00-05:00
22148,G01,G01_20250916_070000.WAV,,24.0,27.0,,,interval,animal,Akletos melanoceps,,,,,,,human,Daniela Martínez,2026-02-02T11:50:31-0500,1.0,,,2.014806,-73.841528,2025-09-16T07:00:00-05:00,2025-09-16T07:00:00-05:00,2025-09-16T07:00:00-05:00
22152,G01,G01_20250916_070000.WAV,,39.0,42.0,,,interval,animal,Akletos melanoceps,,,,,,,machine,Birdnet 2.4,2025-11-26T19:41:16,0.85,,,2.014806,-73.841528,2025-09-16T07:00:00-05:00,2025-09-16T07:00:00-05:00,2025-09-16T07:00:00-05:00
22602,G01,G01_20250921_090000.WAV,,6.0,9.0,,,interval,animal,Akletos melanoceps,,,,,,,machine,Birdnet 2.4,2025-11-26T19:41:16,0.88,,,2.014806,-73.841528,2025-09-21T09:00:00-05:00,2025-09-21T09:00:00-05:00,2025-09-21T09:00:00-05:00
22604,G01,G01_20250921_090000.WAV,,24.0,27.0,,,interval,animal,Akletos melanoceps,,,,,,,machine,Birdnet 2.4,2025-11-26T19:41:16,0.348,,,2.014806,-73.841528,2025-09-21T09:00:00-05:00,2025-09-21T09:00:00-05:00,2025-09-21T09:00:00-05:00
22607,G01,G01_20250921_090000.WAV,,39.0,42.0,,,interval,animal,Akletos melanoceps,,,,,,,human,Daniela Martínez,2026-02-02T11:50:31-0500,1.0,,,2.014806,-73.841528,2025-09-21T09:00:00-05:00,2025-09-21T09:00:00-05:00,2025-09-21T09:00:00-05:00
22608,G01,G01_20250921_090000.WAV,,42.0,45.0,,,interval,animal,Akletos melanoceps,,,,,,,machine,Birdnet 2.4,2025-11-26T19:41:16,0.805,,,2.014806,-73.841528,2025-09-21T09:00:00-05:00,2025-09-21T09:00:00-05:00,2025-09-21T09:00:00-05:00
